num1,num2,expected,output,parsed_result,calculated_result,arithmetic_valid,correct,steps
91,479920016,479920107,"91+479920016:0,4,0>4,0;0,7,0>7,0;0,9,0>9,0;0,9,0>9,0;0,2,0>2,0;0,0,0>0,0;0,0,0>1,0;9,1,1>0,1;1,6,0>7,0|=4",4,479920207,False,False,9
5573311,6733641358,6739214669,"5573311+6733641358:0,6,0>6,0;0,7,0>7,0;0,3,0>3,0;5,3,0>8,0;5,6,1>1,1;7,4,1>1,1;3,1,0>5,0;3,3,0>7,0;1,5,0>7,0;1,8,0>9,0|=6",6,6739215779,False,False,10
43468,93,43561,"43468+93:4,0,0>4,0;3,0,0>3,0;4,0,0>5,0;6,9,1>6,1;8,3,1>1,1|=4",4,43671,False,False,5
4309260670,9723352,4318984022,"4309260670+9723352:4,0,0>4,0;3,0,0>3,0;0,0,0>1,0;9,9,1>9,1;2,7,0>9,0;6,2,0>8,0;0,3,0>4,0;6,3,1>0,1;7,5,1>2,1;0,2,0>2,0|=4",4,4329985122,False,False,10
428487,660,429147,"428487+660:4,0,0>4,0;2,0,0>2,0;8,0,0>9,0;4,6,1>1,1;8,6,1>5,1;7,0,0>7,0|=4",4,430257,False,False,6
1,0,1,"1+0:1,0,0>1,0|=1",1,1,True,True,1
9812472,23,9812495,"9812472+23:9,0,0>9,0;8,0,0>8,0;1,0,0>1,0;2,0,0>2,0;4,0,0>5,0;7,2,0>9,0;2,3,0>5,0|=9",9,9812595,False,False,7
39449560,860480,40310040,"39449560+860480:3,0,0>4,0;9,0,1>0,1;4,8,1>3,1;4,6,1>1,1;9,0,1>0,1;5,4,1>0,1;6,8,1>4,1;0,0,0>0,0|=4",4,51421140,False,False,8
35307,14461,49768,"35307+14461:3,1,0>5,0;5,4,0>9,0;3,4,0>7,0;0,6,0>7,0;7,1,0>8,0|=5",5,59778,False,False,5
1,5113699666,5113699667,"1+5113699666:0,5,0>5,0;0,1,0>1,0;0,1,0>1,0;0,3,0>3,0;0,6,0>6,0;0,9,0>9,0;0,9,0>9,0;0,6,0>6,0;0,6,0>7,0;1,6,0>7,0|=5",5,5113699677,False,False,10
26,6086370835,6086370861,"26+6086370835:0,6,0>6,0;0,0,0>0,0;0,8,0>8,0;0,6,0>6,0;0,3,0>3,0;0,7,0>7,0;0,0,0>0,0;0,8,0>8,0;2,3,0>6,0;6,5,1>1,1|=6",6,6086370871,False,False,10
96570,20162184,20258754,"96570+20162184:0,2,0>2,0;0,0,0>0,0;0,1,0>2,0;9,6,1>5,1;6,2,0>9,0;5,1,0>7,0;7,8,1>5,1;0,4,0>4,0|=2",2,20359854,False,False,8
67308741,97500,67406241,"67308741+97500:6,0,0>6,0;7,0,0>7,0;3,0,0>4,0;0,9,1>0,1;8,7,1>6,1;7,5,1>2,1;4,0,0>4,0;1,0,0>1,0|=6",6,67517241,False,False,8
269833,19698,289531,"269833+19698:2,0,0>3,0;6,1,0>9,0;9,9,1>9,1;8,6,1>5,1;3,9,1>3,1;3,8,1>1,1|=3",3,410641,False,False,6
60174,6,60180,"60174+6:6,0,0>6,0;0,0,0>0,0;1,0,0>1,0;7,0,0>8,0;4,6,1>0,1|=6",6,60190,False,False,5
370782,4,370786,"370782+4:3,0,0>3,0;7,0,0>7,0;0,0,0>0,0;7,0,0>7,0;8,0,0>9,0;2,4,0>6,0|=3",3,370796,False,False,6
171,75997780,75997951,"171+75997780:0,7,0>7,0;0,5,0>5,0;0,9,0>9,0;0,9,0>9,0;0,7,0>7,0;1,7,0>9,0;7,8,1>5,1;1,0,0>1,0|=7",7,75998051,False,False,8
7432,3113370001,3113377433,"7432+3113370001:0,3,0>3,0;0,1,0>1,0;0,1,0>1,0;0,3,0>3,0;0,3,0>3,0;0,7,0>7,0;7,0,0>7,0;4,0,0>4,0;3,1,0>4,0;2,1,0>3,0|=3",3,3113377443,False,False,10
887,563055004,563055891,"887+563055004:0,5,0>5,0;0,6,0>6,0;0,3,0>3,0;0,0,0>0,0;0,5,0>5,0;0,5,0>6,0;8,0,0>8,0;8,0,0>9,0;7,4,1>1,1;7,4,1>1,1|=5",5,5630569021,False,False,10
2740,9214594061,9214596801,"2740+9214594061:0,9,0>9,0;0,2,0>2,0;0,1,0>1,0;0,4,0>4,0;0,5,0>5,0;0,9,0>9,0;2,4,0>6,0;7,0,0>8,0;4,6,1>0,1;0,1,0>1,0|=9",9,9214596901,False,False,10
14569,19,14588,"14569+19:1,0,0>1,0;4,0,0>4,0;5,0,0>6,0;6,1,0>8,0;9,9,1>8,1|=1",1,14698,False,False,5
42,8633175503,8633175545,"42+8633175503:0,8,0>8,0;0,6,0>6,0;0,3,0>3,0;0,3,0>3,0;0,1,0>1,0;0,7,0>7,0;0,5,0>5,0;0,5,0>5,0;4,0,0>4,0;2,3,0>5,0|=8",8,8633175545,False,False,10
2,97626101,97626103,"2+97626101:0,9,0>9,0;0,7,0>7,0;0,6,0>6,0;0,2,0>2,0;0,6,0>6,0;0,1,0>1,0;0,0,0>0,0;2,1,0>3,0|=9",9,97626103,False,False,8
6,4,10,"6+4:0,0,1>1,0;6,4,1>0,1|=1",1,20,False,False,2
500,702553,703053,"500+702553:0,7,0>7,0;0,0,0>0,0;0,2,0>2,0;5,5,1>0,1;0,5,0>5,0;0,3,0>3,0|=7",7,703053,False,False,6
7,613398300,613398307,"7+613398300:0,6,0>6,0;0,1,0>1,0;0,3,0>3,0;0,3,0>3,0;0,9,0>9,0;0,8,0>8,0;0,3,0>3,0;0,0,0>0,0;7,0,0>7,0|=6",6,613398307,False,False,9
2176077,4789081,6965158,"2176077+4789081:2,4,0>7,0;1,7,0>9,0;7,8,1>6,1;6,9,1>6,1;0,0,0>0,0;7,8,1>5,1;7,1,0>8,0|=7",7,8076158,False,False,7
7,3033459,3033466,"7+3033459:0,3,0>3,0;0,0,0>0,0;0,3,0>3,0;0,3,0>3,0;0,4,0>5,0;0,5,0>6,0;7,9,1>6,1|=3",3,3033576,False,False,7
6836509775,832115550,7668625325,"6836509775+832115550:6,0,0>7,0;8,8,1>7,1;3,3,0>6,0;6,2,0>8,0;5,1,0>6,0;0,1,0>2,0;9,5,1>5,1;7,5,1>3,1;7,5,1>3,1;5,0,0>5,0|=7",7,8768636435,False,False,10
17234,2521139,2538373,"17234+2521139:0,2,0>2,0;0,5,0>5,0;1,2,0>3,0;7,1,0>8,0;2,1,0>4,0;3,3,0>7,0;4,9,1>3,1|=2",2,2538483,False,False,7
994794,465139645,466134439,"994794+465139645:0,4,0>4,0;0,6,0>6,0;0,5,0>5,0;9,1,1>1,1;9,3,1>3,1;4,9,1>3,1;7,6,1>4,1;9,4,1>4,1;4,5,0>9,0|=4",4,466244549,False,False,9
47,96945247,96945294,"47+96945247:0,9,0>9,0;0,6,0>6,0;0,9,0>9,0;0,4,0>4,0;0,5,0>5,0;0,2,0>3,0;4,4,0>9,0;7,7,1>4,1|=9",9,96945404,False,False,8
1644,493,2137,"1644+493:1,0,0>2,0;6,4,1>1,1;4,9,1>3,1;4,3,0>7,0|=2",2,3237,False,False,4
7391,23994,31385,"7391+23994:0,2,0>2,0;7,3,1>1,1;3,9,1>3,1;9,9,1>8,1;1,4,0>5,0|=2",2,32485,False,False,5
188984,94931806,95120790,"188984+94931806:0,9,0>9,0;0,4,0>5,0;1,9,1>1,1;8,3,1>2,1;8,1,1>0,1;9,8,1>8,1;8,0,0>9,0;4,6,1>0,1|=9",9,96231900,False,False,8
28782825,1584,28784409,"28782825+1584:2,0,0>2,0;8,0,0>8,0;7,0,0>7,0;8,0,0>8,0;2,1,0>4,0;8,5,1>4,1;2,8,1>0,1;5,4,0>9,0|=2",2,28785509,False,False,8
4907,7,4914,"4907+7:4,0,0>4,0;9,0,0>9,0;0,0,0>1,0;7,7,1>4,1|=4",4,4924,False,False,4
6162867,73,6162940,"6162867+73:6,0,0>6,0;1,0,0>1,0;6,0,0>6,0;2,0,0>2,0;8,0,0>9,0;6,7,1>4,1;7,3,1>0,1|=6",6,6163050,False,False,7
117629000,14971784,132600784,"117629000+14971784:1,0,0>1,0;1,1,0>2,0;7,4,1>1,1;6,9,1>6,1;2,7,0>9,0;9,1,1>1,1;0,7,0>7,0;0,8,0>8,0;0,4,0>4,0|=1",1,132701784,False,False,9
454123,0,454123,"454123+0:4,0,0>4,0;5,0,0>5,0;4,0,0>4,0;1,0,0>1,0;2,0,0>2,0;3,0,0>3,0|=4",4,454123,False,False,6
4551370,93,4551463,"4551370+93:4,0,0>4,0;5,0,0>5,0;5,0,0>5,0;1,0,0>1,0;3,0,0>4,0;7,9,1>6,1;0,3,0>3,0|=4",4,4551563,False,False,7
828080516,82016051,910096567,"828080516+82016051:8,0,0>9,0;2,8,1>0,1;8,2,1>0,1;0,0,0>0,0;8,1,0>9,0;0,6,0>6,0;5,0,0>5,0;1,5,0>6,0;6,1,0>7,0|=9",9,1010096567,False,False,9
338,4972053670,4972054008,"338+4972053670:0,4,0>4,0;0,9,0>9,0;0,7,0>7,0;0,2,0>2,0;0,0,0>0,0;0,5,0>5,0;0,3,0>3,0;3,6,0>9,0;3,7,1>1,1;8,0,0>8,0|=4",4,4972054018,False,False,10
7,769,776,"7+769:0,7,0>7,0;0,6,0>7,0;7,9,1>6,1|=7",7,786,False,False,3
9,16147399,16147408,"9+16147399:0,1,0>1,0;0,6,0>6,0;0,1,0>1,0;0,4,0>4,0;0,7,0>7,0;0,3,0>4,0;0,9,1>0,1;9,9,1>8,1|=1",1,16147518,False,False,8
1235,276,1511,"1235+276:1,0,0>1,0;2,2,0>5,0;3,7,1>1,1;5,6,1>1,1|=1",1,1621,False,False,4
1,69793,69794,"1+69793:0,6,0>6,0;0,9,0>9,0;0,7,0>7,0;0,9,0>9,0;1,3,0>5,0|=6",6,69795,False,False,5
4511008639,216,4511008855,"4511008639+216:4,0,0>4,0;5,0,0>5,0;1,0,0>1,0;1,0,0>1,0;0,0,0>0,0;0,0,0>0,0;8,0,0>8,0;6,2,0>9,0;3,1,0>5,0;9,6,1>5,1|=4",4,4511008965,False,False,10
92628262,1947351792,2039980054,"92628262+1947351792:0,1,0>1,0;0,9,1>0,1;9,4,1>4,1;2,7,1>0,1;6,3,0>9,0;2,5,0>8,0;8,1,1>0,1;2,7,1>0,1;6,9,1>6,1;2,2,0>5,0|=1",1,2150991165,False,False,10
6527,7744585,7751112,"6527+7744585:0,7,0>7,0;0,7,0>7,0;0,4,0>5,0;6,4,1>1,1;5,5,1>1,1;2,8,1>2,1;7,5,1>2,1|=7",7,7762232,False,False,7
817318,83,817401,"817318+83:8,0,0>8,0;1,0,0>1,0;7,0,0>7,0;3,0,0>4,0;1,8,1>0,1;8,3,1>1,1|=8",8,817511,False,False,6
445304509,956,445305465,"445304509+956:4,0,0>4,0;4,0,0>4,0;5,0,0>5,0;3,0,0>3,0;0,0,0>0,0;4,0,0>5,0;5,9,1>5,1;0,5,0>6,0;9,6,1>5,1|=4",4,445306575,False,False,9
3841,5,3846,"3841+5:3,0,0>3,0;8,0,0>8,0;4,0,0>4,0;1,5,0>6,0|=3",3,3846,False,False,4
45,28,73,"45+28:4,2,0>7,0;5,8,1>3,1|=7",7,83,False,False,2
7206350,666,7207016,"7206350+666:7,0,0>7,0;2,0,0>2,0;0,0,0>0,0;6,0,0>7,0;3,6,0>9,0;5,6,1>1,1;0,6,0>6,0|=7",7,7208016,False,False,7
349,88112812,88113161,"349+88112812:0,8,0>8,0;0,8,0>8,0;0,1,0>1,0;0,1,0>1,0;0,2,0>2,0;3,8,1>2,1;4,1,0>6,0;9,2,1>1,1|=8",8,88113271,False,False,8
1,910,911,"1+910:0,9,0>9,0;0,1,0>1,0;1,0,0>1,0|=9",9,911,False,False,3
4340031305,1262233,4341293538,"4340031305+1262233:4,0,0>4,0;3,0,0>3,0;4,0,0>4,0;0,1,0>1,0;0,2,0>2,0;3,6,0>9,0;1,2,0>3,0;3,2,0>5,0;0,3,0>4,0;5,3,0>8,0|=4",4,4341293548,False,False,10
10852226,10,10852236,"10852226+10:1,0,0>1,0;0,0,0>0,0;8,0,0>8,0;5,0,0>5,0;2,0,0>2,0;2,0,0>2,0;2,1,0>3,0;6,0,0>6,0|=1",1,10852236,False,False,8
823,93,916,"823+93:8,0,0>9,0;2,9,1>1,1;3,3,0>6,0|=9",9,1016,False,False,3
8613098877,26632,8613125509,"8613098877+26632:8,0,0>8,0;6,0,0>6,0;1,0,0>1,0;3,0,0>3,0;0,0,0>1,0;9,2,1>2,1;8,6,1>5,1;8,6,1>5,1;7,3,1>1,1;7,2,0>9,0|=8",8,8613236619,False,False,10
5439,635,6074,"5439+635:5,0,0>6,0;4,6,1>0,1;3,3,0>7,0;9,5,1>4,1|=6",6,7084,False,False,4
42112095,3928445,46040540,"42112095+3928445:4,0,0>4,0;2,3,0>6,0;1,9,1>0,1;1,2,0>4,0;2,8,1>1,1;0,4,0>5,0;0,4,0>5,0;5,5,1>0,1|=4",4,47051560,False,False,8
